id,name,group_type,link,members,is_regional,lat,lon,created_at,updated_at
1,Slackline Albania,facebook group,https://www.facebook.com/SlacklineAlbania/,0,true,40.901968,20.104291,2020-05-09 00:28:53.843195,2020-05-09 00:28:53.843195
2,Slackline y Escalada Andorra,facebook page,https://www.facebook.com/groups/267921633656258,0,true,42.541483,1.571859,2020-05-09 00:28:53.892946,2020-05-09 00:28:53.892946
3,Slackline Argentina,facebook page,https://www.facebook.com/groups/35689976544/,0,true,-34.536119,-65.190669,2020-05-09 00:28:53.912416,2020-05-09 00:28:53.912416
4,Highline Argentina,facebook page,https://www.facebook.com/groups/260563367442328/,0,true,-35.50260246,-64.0329388,2020-05-09 00:28:53.930802,2020-05-09 00:28:53.930802
5,Asociacion Slackline Buenos Aires,facebook page,https://www.facebook.com/groups/190245777701831/,0,false,-34.596383,-58.422199,2020-05-09 00:28:53.952391,2020-05-09 00:28:53.952391
6,CUBA Slackline Club Universitario de Buenos Aires,facebook page,https://www.facebook.com/groups/642803799170087/,0,false,-34.596826,-58.377654,2020-05-09 00:28:53.979302,2020-05-09 00:28:53.979302
7,Los Locos De La Cinta,facebook page,https://www.facebook.com/groups/slacklinebuenosaires/about/,0,false,-34.634897,-58.368471,2020-05-09 00:28:54.00534,2020-05-09 00:28:54.00534
8,Slackliners Buenos Aires Argentina,facebook page,https://www.facebook.com/groups/668404283270421/,0,false,-34.642443,-58.405603,2020-05-09 00:28:54.029129,2020-05-09 00:28:54.029129
9,Slackline Conurbano Sur,facebook page,https://www.facebook.com/groups/1424585264281955/,0,false,-34.658441,-58.484454,2020-05-09 00:28:54.048687,2020-05-09 00:28:54.048687
10,SentiSlackline Cipolletti,facebook group,https://www.facebook.com/pg/SlacklineCipolletti/,0,false,-38.939892,-67.995678,2020-05-09 00:28:54.07445,2020-05-09 00:28:54.07445
11,Slackline sur (Comodoro Rivadavia/Rada Tilly),facebook page,https://www.facebook.com/groups/423104901153463/,0,false,-45.85513,-67.490914,2020-05-09 00:28:54.093565,2020-05-09 00:28:54.093565
12,Slackline Concordia,facebook page,https://www.facebook.com/groups/384574158405082/,0,false,-31.385003,-58.014449,2020-05-09 00:28:54.115616,2020-05-09 00:28:54.115616
13,Asociacion de Slackline Córdoba,facebook page,https://www.facebook.com/groups/1913347745606937/,0,false,-31.414595,-64.188875,2020-05-09 00:28:54.139318,2020-05-09 00:28:54.139318
14,Patos Slackers (Cordoba slackline),facebook page,https://www.facebook.com/groups/cuackslack/,0,false,-31.426164,-64.202785,2020-05-09 00:28:54.160421,2020-05-09 00:28:54.160421
15,Slacklife-Cordoba,facebook page,https://www.facebook.com/groups/340528569386668/,0,false,-31.424304,-64.174593,2020-05-09 00:28:54.183644,2020-05-09 00:28:54.183644
16,Slackline Corrientes,facebook page,https://www.facebook.com/groups/1485878911676994/,0,false,-27.474303,-58.823238,2020-05-09 00:28:54.205744,2020-05-09 00:28:54.205744
17,Slackline La Plata,facebook page,https://www.facebook.com/groups/300277126679860/,0,false,-34.92049,-57.95357,2020-05-09 00:28:54.225041,2020-05-09 00:28:54.225041
18,Slackline Mar del plata,facebook page,https://www.facebook.com/groups/263647037088047/,0,false,-38.016803,-57.559327,2020-05-09 00:28:54.250377,2020-05-09 00:28:54.250377
19,Slackline Mendoza,facebook page,https://www.facebook.com/groups/214698078570528/,0,false,-32.887051,-68.84868,2020-05-09 00:28:54.279942,2020-05-09 00:28:54.279942
20,"Slackvida, Slackline Mendoza",facebook page,https://www.facebook.com/groups/562129070529021/,0,false,-32.888043,-68.84573,2020-05-09 00:28:54.308981,2020-05-09 00:28:54.308981
21,Comision directiva Asociacion Slackline Neuquén,facebook page,https://www.facebook.com/groups/383745035346473/,0,false,-38.951546,-68.06567,2020-05-09 00:28:54.33673,2020-05-09 00:28:54.33673
22,Slackline Neuquen,facebook page,https://www.facebook.com/groups/slackline.neuquen/,0,false,-38.95168,-68.05919,2020-05-09 00:28:54.36912,2020-05-09 00:28:54.36912
23,Slackline Posadas,facebook page,https://www.facebook.com/groups/slacklinePosadas/,0,false,-27.36214,-55.90088,2020-05-09 00:28:54.401491,2020-05-09 00:28:54.401491
24,Rafael SlackLine!,facebook page,https://www.facebook.com/groups/423020361067937/,0,false,-31.257143,-61.492245,2020-05-09 00:28:54.439209,2020-05-09 00:28:54.439209
25,SLACKLINE RAMOS MEJIA,facebook page,https://www.facebook.com/groups/747979861913577/,0,false,-34.656985,-58.556088,2020-05-09 00:28:54.476779,2020-05-09 00:28:54.476779
